date,position,songname,artist,last week,peak position,weeks on chart
2001-08-25,58,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya &amp; Pink",51,1,20
2001-08-04,48,I Hope You Dance,Lee Ann Womack With Sons Of The Desert,46,14,48
2001-07-21,97,Let's Get It,"Three The... G. Dep, P. Diddy &amp; Black Rob",88,80,9
2001-06-09,86,Nobody Wants To Be Lonely,Ricky Martin With Christina Aguilera,83,13,20
2001-06-02,100,Outside,Aaron Lewis Of Staind With Fred Durst,95,56,19
2001-05-05,98,Change The Game,"Jay-Z, Beanie Sigel And Memphis Bleek",97,86,14
2001-04-28,34,Oochie Wally,QB's Finest Featuring Nas,26,26,9
2001-04-21,95,My Everything,98 Degrees,98,34,20
2001-02-24,97,You All Dat,Baha Men With Imani Coppola,96,94,4
2000-12-16,7,This I Promise You,N Sync,6,5,12
2000-12-09,100,Where I Wanna Be,Damizza Presents Shade Sheist Featuring Nate Dogg,99,95,5
2000-11-11,91,Let s Make Love,Faith Hill With Tim McGraw,88,54,14
2000-10-14,98,You ll Always Be Loved By Me,Brooks,100,55,19
2000-09-30,35,Purest Of Pain (A Puro Dolor),Son By Four,39,26,26
2000-08-05,99,Take That,"Torrey Carter Featuring Missy ""Misdemeanor"" Elliott",87,86,7
2000-07-22,91,Buy Me A Rose,Kenny Rogers With Alison Krauss,88,40,20
2000-07-08,84,Buy Me A Rose,Kenny Rogers With Alison Krauss &amp; Billy Dean,86,84,20
2000-07-08,99,Got Beef,Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,99,99,2
2000-07-01,100,Been There,Clint Black With Steve Wariner,95,44,20
2000-05-06,100,U Don t Love Me,Kumbia Kings Featuring A.B. Quintanilla,89,62,10
2000-04-29,93,If You Don t Wanna Love Me,Tamar,92,89,6
2000-04-29,97,"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,97,73,7
2000-04-15,38,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE",30,5,21
2000-04-15,99,One Night Stand,J-Shin Featuring LaTocha Scott,88,34,17
2000-04-08,94,G d Up,Snoop Dogg Presents Tha Eastsidaz,90,47,14
2000-04-08,99,Baby Don t Cry (Keep Ya Head Up II),2Pac + Outlawz,94,72,7
2000-03-25,89,The Best Man I Can Be,"Ginuwine, R.L., Tyrese, Case",85,77,12
2000-03-11,99,Best Friend,Puff Daddy Featuring Mario Winans,79,59,5
